num	type	reportname	dbname	person	committee	bill
72	STOP  COUNTERFEITING  IN  MANUFACTURED  GOODS  ACT	house	hr068	109	SENSENBRENNER	Committee on the Judiciary	H.R. 32
73	PROVIDING  FOR  CONSIDERATION  OF  H.R.  366,  VOCATIONAL  AND  TECHNICAL  EDUCATION  FOR  THE  FUTURE  ACT	house	hr069	109	BISHOP of Utah	Committee on Rules	H. Res. 254
74	PROVIDING  FOR  CONSIDERATION  OF  H.R.  1185,  FEDERAL  DEPOSIT  INSURANCE  REFORM  ACT  OF  2005	house	hr070	109	SESSIONS	Committee on Rules	H. Res. 255
75	DEPARTMENT  OF  HOMELAND  SECURITY  AUTHORIZATION  ACT  FOR  FISCAL  YEAR  2006	house	hr071p1	109	COX	Committee on Homeland Security	H.R. 1817
76	DEPARTMENT  OF  HOMELAND  SECURITY  AUTHORIZATION  ACT  FOR  FISCAL  YEAR  2006	house	hr071p2	109	BARTON of Texas	Committee on Energy and Commerce	H.R. 1817
77	DEPARTMENT  OF  HOMELAND  SECURITY  AUTHORIZATION  ACT  FOR  FISCAL  YEAR  2006	house	hr071p3	109	SENSENBRENNER	Committee on the Judiciary	H.R. 1817
78	MAKING  EMERGENCY  SUPPLEMENTAL  APPROPRIATIONS  FOR  THE  FISCAL  YEAR  ENDING  SEPTEMBER  30,  2005,  AND  FOR  OTHER  PURPOSES	house	hr072	109	LEWIS of California	committee of conference	H.R. 1268
79	WAIVING  POINTS  OF  ORDER  AGAINST  THE  CONFERENCE  REPORT  TO  ACCOMPANY  H.R.  1268,  EMERGENCY  SUPPLEMENTAL  APPROPRIATIONS  ACT  FOR  DEFENSE,  THE  GLOBAL  WAR  ON  TERROR,  AND  TSUNAMI  RELIEF  ACT,  2005	house	hr073	109	COLE	Committee on Rules	H. Res. 258
80	GANG  DETERRENCE  AND  COMMUNITY  PROTECTION  ACT  OF  2005	house	hr074	109	SENSENBRENNER	Committee on the Judiciary	H.R. 1279
81	TECHNICAL  CORRECTIONS  TO  TITLE  17,  UNITED  STATES  CODE	house	hr075	109	SENSENBRENNER	Committee on the Judiciary	H.R. 1037
82	PROVIDING  FOR  CONSIDERATION  OF  H.R.  1279,  GANG  DETERRENCE  AND  COMMUNITY  PROTECTION  ACT  OF  2005	house	hr076	109	GINGREY	Committee on Rules	H. Res. 268
83	PROVIDING  FOR  CONSIDERATION  OF  H.R.  1544,  FASTER  AND  SMARTER  FUNDING  FOR  FIRST  RESPONDERS  ACT  OF  2005	house	hr077	109	SESSIONS	Committee on Rules	H. Res. 269
84	HOUSE  OF  REPRESENTATIVES	house	hr078	109	LEWIS of California	Committee on Appropriations	
85	DEPARTMENT  OF  HOMELAND  SECURITY  APPROPRIATIONS  BILL,  2006	house	hr079	109	ROGERS of Kentucky	Committee on Appropriations	H.R. 2360
86	DEPARTMENT  OF  THE  INTERIOR,  ENVIRONMENT,  AND  RELATED  AGENCIES  APPROPRIATION  BILL,  2006	house	hr080	109	TAYLOR of North Carolina	Committee on Appropriations	H.R. 2361
87	BUSINESS  CHECKING  FREEDOM  ACT  OF  2005	house	hr081	109	OXLEY	Committee on Financial Services	H.R. 1224
88	GREEN  CHEMISTRY  RESEARCH  AND  DEVELOPMENT  ACT  OF  2005	house	hr082	109	BOEHLERT	Committee on Science	H.R. 1215
89	PROVIDING  FOR  CONSIDERATION  OF  H.R.  2360,  DEPARTMENT  OF  HOMELAND  SECURITY  APPROPRIATIONS  ACT,  2006	house	hr083	109	SESSIONS	Committee on Rules	H. Res. 278
90	PROVIDING  FOR  CONSIDERATION  OF  H.R.  1817,  DEPARTMENT  OF  HOMELAND  SECURITY  AUTHORIZATION  ACT  FOR  FISCAL  YEAR  2006	house	hr084	109	SESSIONS	Committee on Rules	H. Res. 283
91	REPORT  ON  THE  REVISED  SUBALLOCATION  OF  BUDGET  ALLOCATIONS  FOR  FISCAL  YEAR  2006	house	hr085	109	LEWIS of California	Committee on Appropriations	
92	ENERGY  AND  WATER  DEVELOPMENT  APPROPRIATIONS  BILL,  2006	house	hr086	109	HOBSON	Committee on Appropriations	H.R. 2419
93	PROVIDING  FOR  CONSIDERATION  OF  H.R.  2361,  DEPARTMENT  OF  INTERIOR,  ENVIRONMENT  AND  RELATED  AGENCIES  APPROPRIATIONS  ACT,  2006	house	hr087	109	BISHOP of Utah	Committee on Rules	H. Res. 287
94	SERVICEMEMBERS'  HEALTH  INSURANCE  PROTECTION  ACT  OF  2005	house	hr088	109	BUYER	Committee on Veterans	H.R. 2046
95	NATIONAL  DEFENSE  AUTHORIZATION  ACT  FOR  FISCAL  YEAR  2006	house	hr089	109	HUNTER	Committee on Armed Services	H.R. 1815
96	SUPPORTING  NATIONAL  SAFE  BOATING  WEEK	house	hr090	109	YOUNG of Alaska	Committee on Transportation and Infrastructure	H. Res. 243
97	GENERAL  SERVICES  ADMINISTRATION  MODERNIZATION  ACT	house	hr091	109	TOM DAVIS of Virginia	Committee on Government Reform	H.R. 2066
98	MANUFACTURING  TECHNOLOGY  COMPETITIVENESS  ACT  OF  2005	house	hr092	109	BOEHLERT	Committee on Science	H.R. 250
99	INTERNET  SPYWARE  (I-SPY)  PREVENTION  ACT  OF  2005	house	hr093	109	SENSENBRENNER	Committee on the Judiciary	H.R. 744
100	PROVIDING  FOR  CONSIDERATION  OF  H.R.  2419,  MAKING  APPROPRIATIONS  FOR  ENERGY  AND  WATER  DEVELOPMENT  FOR  THE  FISCAL  YEAR  ENDING  SEPTEMBER  30,  2006,  AND  FOR  OTHER  PURPOSES	house	hr094	109	LINCOLN DIAZ-BALART	Committee on Rules	H. Res. 291
101	MILITARY  QUALITY  OF  LIFE  AND  VETERANS  AFFAIRS,  AND  RELATED  AGENCIES  APPROPRIATIONS  BILL,  2006	house	hr095	109	WALSH	Committee on Appropriations	H.R. 2528
102	PROVIDING  FOR  CONSIDERATION  OF  H.R.  1815,  NATIONAL  DEFENSE  AUTHORIZATION  ACT  FOR  FISCAL  YEAR  2006	house	hr096	109	COLE of Oklahoma	Committee on Rules	H. Res. 293
103	PROVIDING  FOR  CONSIDERATION  OF  H.R.  2528,  MILITARY  QUALITY  OF  LIFE  AND  VETERANS  AFFAIRS  APPROPRIATIONS  ACT,  2006	house	hr097	109	GINGREY	Committee on Rules	H. Res. 298
104	RETURN  OF  GENERAL  AVIATION  TO  RONALD  REAGAN  WASHINGTON  NATIONAL  AIRPORT  ACT  OF  2005	house	hr098	109	YOUNG of Alaska	Committee on Transportation and Infrastructure	H.R. 1496
105	TO  PROVIDE  SPECIAL  IMMIGRANT  STATUS  FOR  ALIENS  SERVING  AS  TRANSLATORS  WITH  THE  UNITED  STATES  ARMED  FORCES	house	hr099	109	SENSENBRENNER	Committee on the Judiciary	H.R. 2293
106	WITHDRAWING  THE  APPROVAL  OF  THE  UNITED  STATES  FROM  THE  AGREEMENT  ESTABLISHING  THE  WORLD  TRADE  ORGANIZATION	house	hr100	109	THOMAS	Committee on Ways and Means	H.J. Res. 27
107	INTELLIGENCE  AUTHORIZATION  ACT  FOR  FISCAL  YEAR  2006	house	hr101	109	HOEKSTRA	Permanent Select Committee on Intelligence	H.R. 2475
108	AGRICULTURE,  RURAL  DEVELOPMENT,  FOOD  AND  DRUG  ADMINISTRATION,  AND  RELATED  AGENCIES  APPROPRIATIONS  BILL,  2006	house	hr102	109	BONILLA	Committee on Appropriations	H.R. 2744
109	RECOGNIZING  THE  IMPORTANCE  OF  SUN  SAFETY	house	hr103	109	BARTON of Texas	Committee on Energy and Commerce	H. Res. 169
110	PATIENT  NAVIGATOR  OUTREACH  AND  CHRONIC  DISEASE  PREVENTION  ACT  OF  2005	house	hr104	109	BARTON of Texas	Committee on Energy and Commerce	H.R. 1812
111	PROVIDING  FOR  CONSIDERATION  OF  H.R.  2744,  AGRICULTURE,  RURAL  DEVELOPMENT,  FOOD  AND  DRUG  ADMINISTRATION,  AND  RELATED  AGENCIES  APPROPRIATIONS  ACT,  2006	house	hr105	109	PUTNAM	Committee on Rules	H. Res. 303
112	PROVIDING  FOR  CONSIDERATION  OF  H.J.  RES.  27--WITHDRAWING  THE  APPROVAL  OF  THE  UNITED  STATES  FROM  THE  AGREEMENT  ESTABLISHING  THE  WORLD  TRADE  ORGANIZATION	house	hr106	109	HASTINGS of Washington	Committee on Rules	H. Res. 304
113	SAND  CREEK  MASSACRE  NATIONAL  HISTORIC  SITE  TRUST  ACT  OF  2005	house	hr107	109	POMBO	Committee on Resources	H.R. 481
114	ROCKY  MOUNTAIN  NATIONAL  PARK  BOUNDARY  ADJUSTMENT  ACT  OF  2005	house	hr108	109	POMBO	Committee on Resources	H.R. 774
115	REMOVING  CERTAIN  RESTRICTIONS  ON  THE  MAMMOTH  COMMUNITY  WATER  DISTRICTS  ABILITY  TO  USE  CERTAIN  PROPERTY  ACQUIRED  BY  THAT  DISTRICT  FROM  THE  UNITED  STATES	house	hr109	109	POMBO	Committee on Resources	H.R. 853
116	NORTHERN  MARIANA  ISLANDS  DELEGATE  ACT	house	hr110	109	POMBO	Committee on Resources	H.R. 873
117	ESTABLISHMENT  OF  NEW  HAMPSHIRE  MEMORIAL  ANTIETAM  NATIONAL  BATTLEFIELD,  MARYLAND	house	hr111	109	POMBO	Committee on Resources	H.R. 1084
118	NATIONAL  FISH  AND  WILDLIFE  FOUNDATION  REAUTHORIZATION  ACT  OF  2005	house	hr112	109	POMBO	Committee on Resources	H.R. 1428
119	NATIONAL  GEOLOGIC  MAPPING  REAUTHORIZATION  ACT  OF  2005	house	hr113	109	POMBO	Committee on Resources	H.R. 2362
120	BETTY  DICK  RESIDENCE  PROTECTION  ACT	house	hr114	109	POMBO	Committee on Resources	H.R. 432
121	CONTROLLED  SUBSTANCES  EXPORT  REFORM  ACT  OF  2005	house	hr115p1	109	BARTON of Texas	Committee on Energy and Commerce	H.R. 184
122	CONTROLLED  SUBSTANCES  EXPORT  REFORM  ACT  OF  2005	house	hr115p2	109	SENSENBRENNER	Committee on the Judiciary	H.R. 184
123	DRUG  ADDICTION  TREATMENT  EXPANSION  ACT	house	hr116p1	109	BARTON of Texas	Committee on Energy and Commerce	H.R. 869
124	MAINTENANCE  OR  DETOXIFICATION  TREATMENT  WITH  CERTAIN  NARCOTIC  DRUGS;  ELIMINATION  OF  30-PATIENT  LIMIT  FOR  GROUP  PRACTICES	house	hr116p2	109	SENSENBRENNER	Committee on the Judiciary	H.R. 869
125	SECURE  RURAL  SCHOOLS  AND  COMMUNITY  SELF-DETERMINATION  REAUTHORIZATION  ACT  OF  2005	house	hr117p1	109	POMBO	Committee on Resources	H.R. 517
126	SCIENCE,  STATE,  JUSTICE,  COMMERCE,  AND  RELATED  AGENCIES  APPROPRIATIONS  BILL,  FISCAL  YEAR  2006	house	hr118	109	WOLF	Committee on Appropriations	H.R. 2862
127	DEPARTMENT  OF  DEFENSE  APPROPRIATIONS  BILL,  2006	house	hr119	109	YOUNG of Florida	Committee on Appropriations	h.r. 2863
128	HENRY  J.  HYDE  UNITED  NATIONS  REFORM  ACT  OF  2005	house	hr120	109	HYDE	Committee on International Relations	H.R. 2745
129	COMMEMORATING  MYSTIC  SEAPORT	house	hr121	109	YOUNG of Alaska	Committee on Transportation and Infrastructure	H. Con. Res. 152
130	PROVIDING  FOR  CONSIDERATION  OF  H.R.  2862,  SCIENCE,  STATE,  JUSTICE,  COMMERCE,  AND  RELATED  AGENCIES  APPROPRIATIONS  ACT,  2006	house	hr122	109	GINGREY	Committee on Rules	H. Res. 314
131	LAWSUIT  ABUSE  REDUCTION  ACT  OF  2005	house	hr123	109	SENSENBRENNER	Committee on the Judiciary	H.R. 420
132	PROTECTION  OF  LAWFUL  COMMERCE  IN  ARMS  ACT	house	hr124	109	SENSENBRENNER	Committee on the Judiciary	H.R. 800
133	UPPER  WHITE  SALMON  WILD  AND  SCENIC  RIVERS  ACT	house	hr125	109	POMBO	Committee on Resources	H.R. 38
134	CARIBBEAN  NATIONAL  FOREST  ACT  OF  2005	house	hr126	109	POMBO	Committee on Resources	H.R. 539
135	PROVIDING  FOR  CONSIDERATION  OF  H.R.  2863,  DEPARTMENT  OF  DEFENSE  APPROPRIATIONS  ACT,  2006	house	hr127	109	COLE	Committee on Rules	H. Res. 315
136	TRAIL  RESPONSIBILITY  AND  ACCOUNTABILITY  FOR  THE  IMPROVEMENT  OF  LANDS  ACT  (OR  TRAIL  ACT)	house	hr128p1	109	POMBO	Committee on Resources	H.R. 975
137	FEDERAL  LANDS  RESTORATION,  ENHANCEMENT,  PUBLIC  EDUCATION,  AND  INFORMATION  RESOURCES  ACT  OF  2005	house	hr129p1	109	POMBO	Committee on Resources	H.R. 599
